,,,,
Region,Location,Remarks,Address,
NORTH-EAST,212 Social - Kovan,Unisex toilet,"212 Hougang Street 21, #01-337, Singapore 530212",
,AMK Specialist Centre TTSH,all cubicles,"723 Ang Mo Kio Ave 8, #8, Singapore 560723",
,Anchorvale Village,"At female'e toilet, first floor!","339 Anchorvale Rd, Singapore 540339",
,Ang Mo Kio MRT,Squatting cubicle,"2450 Ang Mo Kio Ave 8, Singapore 569811",
,Buangkok Hawker Centre,all cubicles have bidet!,"70 Compassvale Bow, Singapore 544692",
,Fu Fa Food Court @ Hougang Green,female & handicap toilet,"21 Hougang St 51, Singapore 530021",
,Hougang Community Club,,"35 Hougang Ave 3, Singapore 538840",
,Hougang Mall,"Handicap toilet only, level 5","90 Hougang Ave 10, Singapore 538766",
,Hougang RiverCourt,B1,"377 Hougang St. 32, Singapore 530377",
,Kedai Kopi - AMK,Female + handicap,"108 Ang Mo Kio Ave 4, Singapore 560108",
,Lentor MRT Station (TE5),handicap toilet only,"1 Lentor Dr, Singapore 789361",
,Northshore Plaza I,"Found in nursing room, bidet for parent & child avail","407 Northshore Dr, Singapore 820407",
,NEX,"Female squatting + Handicap toilet, all levels","23 Serangoon Central, Singapore 556083",
,Oasis Terraces,Handicap toilet on level 5. Note its shopping mall wing not the polyclinc,"681 Punggol Dr., Singapore 820681",
,One Punggol,"Female L3, all cubicles + Handicap toilet","1 Punggol Dr., Singapore 828629",
,Punggol East Container Park,"Handicap only, near Big Fish Small Fish","50 Punggol E, Singapore 828824",
,Punggol Community Club,handicap toilet only,"3 Hougang Ave 6, Singapore 538808",
,Punggol Temp Int ,Female only,"70A Punggol Pl, Singapore 828865",
,SAFRA Punggol,level 2,"9 Sentul Cres, Singapore 828654",
,Seletar Airport,female all cubicles!,"21 Seletar Aerospace Rd 1, Singapore 797405",
,Sengkang Grand Mall,"Female: B1, and level 2 toilet near elevator, elderly's cubicle","70 Compassvale Bow, Singapore 544692",
,Steak-Me,Unisex toilet,"248 Jln Kayu, Singapore 799472",
,Tenderbest Makcik Tuckshop @ Punggol,,"60 Punggol E, #01-09, Singapore 828825",
,The Midtown,Handicap toilet only,"1189 Upper Serangoon Rd, Singapore 534785",
,Waterway Point,Handicap toilet only,"83 Punggol Central, Singapore 828761",
,,,,
EAST,ACTIVESG PASIR RIS SPORT CENTRE,,"120 Pasir Ris Central, Singapore 519640",
,Aspial One,Level 1,"55 Ubi Ave 3, Singapore 408864",
,Audio House,female toilets: alll cubicles have bidets,"23 Ubi Rd 4, #01-01 Audio House Building, Singapore 408620",
,Badaque,Unisex toilet,"298 Bedok Rd, Singapore 469454",
,Bedok Mall ,"Handicap only, B1 near Best Denki and level 1 near Swensens","New Upper Changi Rd, 311, Singapore 467360",
,Bedok Point ,"Handicap only, level 1 near MCD","799 New Upper Changi Rd, Singapore 467351",
,Butter Space,Unisex toilet,"55 Chai Chee Dr, #01-198, Singapore 460055",
,Century Square ,"Handicap only, all levels","2 Tampines Central 5, Singapore 529509",
,Changi Bay Park Connector,Female + Handicap,2a Changi Ferry Rd,
,Changi Beach Car Park 6,,,
,Changi City Point ,"pls look for the bidet sign at the cubicle door!
Female: B1, L1, L2
Handicap: L2 (beside Nike)","5 Changi Business Park Central 1, Singapore 486038",
,Changi General Hospital - Medical Centre Building @ NDCS Oral & Maxillofacial Surgery Clinic,"Handicap toilet, level 2","2 Simei Street 3, Singapore 529889","Go to CGH's Medical Centre Building.

Proceed up to level 2 and enter their NDCS Oral & Maxillofacial Surgery Clinic.

Walk past the counters and you'll see a handicap toilet on your right. "
,Cilantro: The Biryani Club,Unisex toilet,"102 Joo Chiat Rd, Singapore 427396",
,ComfortDelGro Driving Centre (CDC),toilet at main entrance,"205 Ubi Ave 4, Singapore 408805",
,Djitsun Mall Bedok,level 4 beside GV,"445 Bedok North Street 1, Singapore 469661",
,E!Avenue @ Downtown East,Handicap on all levels,"1 Pasir Ris Cl, Singapore 519599",
,East Village,Female sitting and squatting + Handicap,"430 Upper Changi Rd, Singapore 487048",
,East Coast Commune,,"1000 ECP, #01-03, Singapore 449876",
,East Coast Lagoon Food Village,only one cubicle has bidet,"1220 ECP, Singapore 468960",
,East Coast - McDonald's Marine Cove,,"1000 ECP, 01-05 Marine Cove, Singapore 44987",
