,,,,
Region,Location,Remarks,Address,
NORTH-EAST,212 Social - Kovan,Unisex toilet,"212 Hougang Street 21, #01-337, Singapore 530212",
,Buangkok Hawker Centre,all cubicles have bidet!,"70 Compassvale Bow, Singapore 544692",
,Fu Fa Food Court @ Hougang Green,handicap toilet only,"21 Hougang St 51, Singapore 530021",
,Hougang Mall,"Handicap toilet, level 5
Male toilet cubicle 3, level 5","90 Hougang Ave 10, Singapore 538766",
,Kedai Kopi - AMK,handicap toilet only,"108 Ang Mo Kio Ave 4, Singapore 560108",
,Lentor MRT Station (TE5),handicap toilet only,"1 Lentor Dr, Singapore 789361",
,Northshore Plaza I,"Found in nursing room, bidet for parent & child avail","407 Northshore Dr, Singapore 820407",
,NEX ,"Handicap toilet only, all levels","23 Serangoon Central, Singapore 556083",
,Oasis Terraces,"Handicap toilet + male toilet, both on level 5. Note its shopping mall wing not the polyclinc","681 Punggol Dr., Singapore 820681",
,One Punggol,Handicap toilet only,"1 Punggol Dr., Singapore 828629",
,Punggol Community Club,handicap toilet only,"3 Hougang Ave 6, Singapore 538808",
,Punggol East Container Park,"Handicap only, near Big Fish Small Fish","50 Punggol E, Singapore 828824",
,Rivervale Community Club,at first floor,"2 Rivervale Cl, Singapore 544583",
,Rivervale Mall,,"11 Rivervale Cres, Singapore 545082",
,Sengkang Sports Centre,male toilet beside macdonald,"57 Anchorvale Rd, Singapore 544964",
,Steak-Me,Unisex toilet,"248 Jln Kayu, Singapore 799472",
,The Midtown,Handicap toilet only,"1189 Upper Serangoon Rd, Singapore 534785",
,Waterway Point,Handicap toilet only,"83 Punggol Central, Singapore 828761",
,,,,
EAST,Ali's Prata (Bedok),,"136 Bedok Reservoir Rd, Block 136, Singapore 470136",
,Badaque,Unisex toilet,"298 Bedok Rd, Singapore 469454",
,Bedok Mall ,"Handicap only, B1 near Best Denki and level 1 near Swensens","New Upper Changi Rd, 311, Singapore 467360",
,Bedok Point ,"Handicap toilet only, level 1 near MCD","799 New Upper Changi Rd, Singapore 467351",
,Butter Space,Unisex toilet,"55 Chai Chee Dr, #01-198, Singapore 460055",
,Century Square ,"Handicap toilet only, at all levels","2 Tampines Central 5, Singapore 529509",
,Changi Bay Park Connector,Handicap only,2a Changi Ferry Rd,
,Changi City Point ,"pls look for the bidet sign at the cubicle door!

Male: L1
Handicap: L2 (beside Nike)","5 Changi Business Park Central 1, Singapore 486038",
,Changi General Hospital - Medical Centre Building @ NDCS Oral & Maxillofacial Surgery Clinic ,"Handicap toilet only, level 2","2 Simei Street 3, Singapore 529889","Go to CGH's Medical Centre Building. Accessible to public.
Proceed up to level 2 and enter their NDCS Oral & Maxillofacial Surgery Clinic.

Walk past the counters and you'll see a handicap toilet on your right. "
,Cilantro: The Biryani Club,Unisex toilet,"102 Joo Chiat Rd, Singapore 427396",
,E!Avenue @ Downtown East,"Male: L1 toilet near macdonald, only one cubicle has built in bidet
Handicap; on all levels","1 Pasir Ris Cl, Singapore 519599",
,East Coast Commune,,"1000 ECP, #01-03, Singapore 449876",
,East Coast Lagoon Food Village,,"1220 ECP, Singapore 468960",
,East Village,Male + Handicap toilet,"430 Upper Changi Rd, Singapore 487048",
,Grandlink Square,Handicap toilet level 1 has bidets,"511 Guillemard Rd, Singapore 399849",
,Happy Hawkers Bedok Reservoir,Male + Unisex Toilet,"741 Bedok Reservoir Rd, #738, Singapore 470741",
,I12 Katong,"Males at L1, Handicap at B1","112 E Coast Rd, Singapore 428802",
,Jewel Changi Airport,Male + Handicap toilet,"78 Airport Blvd., Singapore 819666",
,Kembangan MRT,Handicap toilet only,"55 Sims Ave E, Singapore 416551",
,Mana Lagi by FattyBomBom Group,Unisex toilet,"477 Tampines Street 43, #01-172, Singapore 520477",
,Our Tampines Hub,B1,"1 Tampines Walk, Singapore 528523",
,Pasir Ris Bus Interchange,Handicap toilet only,"501 Pasir Ris Drive 3, Singapore 519490",
,Plaza 8 @ CBP,"Level 1 Handicap toilet, in front of Sankranti Restaurant","1 Changi Business Park Ave 1, Singapore 486025",
,PLQ Mall - Shaw Theatres,Only accessible to movie goers,"10 Paya Lebar Rd, #05-02 PLQ Mall, Singapore 409057",
,Singpost Centre,"All levels, but in elderly cubicle only","10 Eunos Rd 8, Singapore 408600",
,Shell - Tamp Ave 2,Handicap toilet only,"9 Tampines Ave 2, Singapore 529731",
,Siglap CC ,In handicap cubicle,"151 Bedok S Rd, Singapore 460151",
,Singapore Expo,Male + Handicap,"1 Expo Dr, Singapore 486150",
,Supper Deck,Unisex toilet,"288 Bedok Rd, Singapore 469444",
,Syed Cafe,,"328 Bedok Rd, Singapore 469499",
,Tampines Bus Interchange,Handicap toilet only,"1 Tampines Central 1, Singapore 529539",
,Tampines East Community Club,Handicap toilet only,"10 Tampines Street 23, Singapore 529341",
,Tampines North Polyclinic,,"35 Tampines Street 61, Singapore 528566",
,Tampines Mall,"Handicap toilet only, level 2","4 Tampines Central 5, Singapore 529510",
,The Coffee Bean & Tea Leaf @ East Coast Park,,"1000 ECP, #01-01 Marine Cove, Singapore 449876",
,Tomahawk King: Steakhouse and Grill,Unisex toilet,"324 Changi Rd, Singapore 419799",
,White Sands,"Handicap toilet, level 1","1 Pasir Ris Central St 3, Singapore 518457",
,,,,
CENTRAL,5themoments Handcrafted Gelato Cafe (Tanjong Pagar),Unisex toilet,"73 Tg Pagar Rd, Singapore 088494",
,18 Tai Seng,at elderly cubicle,"18 Tai Seng St, Singapore 539775",
,111 Somerset ,"Males at L2 & L3, handicap at L3","111 Somerset Rd, Singapore 238164",
,313 Somerset,Handicap only,"313 Orchard Rd, Singapore 238895",
,"Active Garden, Waterfront Plaza",Handicap only,"18 Marina Gardens Dr, Singapore 018953",
,Al Bidayah Restaurant,Unisex toilet!,"364 Geylang Rd, Singapore 389369",
,Aliwal Arts Centre,Bidet at handicap toilet!,"28 Aliwal St, Singapore 199918",
,Amoy Street Food Centre,,"7 Maxwell Rd, Singapore 069111",
,Apartment Coffee,Unisex toilet,"139 Selegie Rd, #01-01, Singapore 188309",
,Apple Marina Bay Sands,Unisex toilet,"2 Bayfront Ave, B2 - 06, Singapore 018972",
,Bayfront Pavillion,Both cubicle have bidet,,
,Beo Crescent Market,,"38A Beo Cres, Singapore 169982",
,Bishan Bus Interchange,Handicap only,"514 Bishan Street 13, Singapore 570514",
,Black Raisins,Unisex toilet with bidet!,"28 Lor Ampas, Singapore 328781",
,Botanical Gardens Nassim Gate Visitor Centre,Male: Last cubicle (squatting) ,"1 Cluny Rd, Singapore 259569",
,CapitaSpring,"Unisex toilet, at Green Oasis Level 17","88 Market St, Singapore 048948",
,Cash Studio - Prinsep,All toilets got bidet,"72 Prinsep St, Singapore 188671",
,Chye Seng Huat Hardware,Male + handicap,"150 Tyrwhitt Rd, Singapore 207563",
,Clarke Quay,Males at level 2,"3 River Valley Rd, Singapore 179024",
,Clarke Quay - Haidilao,,"3D River Valley Rd, #02-04 Clarke Quay, Singapore 179023",
,Collyer Quay Centre,all cubicles,"16 Collyer Quay, Singapore 049318",
,Crane @ Kim Yam Rd,Unisex toilet!,"46 Kim Yam Rd, #01-06, Singapore 239351",
,Daizu Cafe,Unisex toilet,"129 Rangoon Rd, Singapore 218407",
,Dessert First,Unisex toilet,"8 Liang Seah St, #01-04, Singapore 189029",
,Dopa Dopa Creamery,Unisex toilet,"29 South Bridge Rd, #01-01, Singapore 058665",
,Duo Tower,"edit as of 02/06/22 bidets are no longer there 😭

Level 1 open to public - Handicap only","3 Fraser St, Singapore 189352",
,Esplanade Mall,"Level 2 elderly cubicle, beside emmanuel and sons","1 Esplanade Dr, Singapore 038981",
,Fort Canning Park,Handicap toilet next to Tiong Bahru Bakery.,"70 River Valley Rd, Singapore 179037",
,Frasers Tower,Level 2: Handicap toilet near Ya Kun. Open on weekend,"182 Cecil St, Singapore 069547",
,Funan,"Male toilet at elderly cubicle on every level.
At Handicap Toilet
Family toilet on every level","107 North Bridge Rd, Singapore 179105",
,Furama City Centre,"Bidet at handicap toilet, located at the lobby beside the Musollah.","60 Eu Tong Sen St, Singapore 059804",
,Gardens by The Bay,handicap toilet only,"18 Marina Gardens Dr, Singapore 018953",
,Gardens by the Bay MRT,handicap toilet only,"11 Marina Mall, Singapore 019396",
,Gleneagles Hospital,,"6A Napier Rd, Singapore 258500",
,Goldenroy Sourdough Pizza,bidet available in male and female toilet level 2,"125 Desker Rd, Singapore 209642",
,GR.iD,"
Handicap: Level 1 and level 3","1 Selegie Rd, Singapore 188306",
,Hai Ge Ji Hainanese Chicken Rice,Unisex toilet,"783 North Bridge Rd, Singapore 198751",
,Health Sciences Authority (HSA),,"11 Outram Rd, Singapore 169078",
,Homeground Coffee Roasters,Unisex toilet ,"15 Teo Hong Rd, Singapore 088328",
,Hotel Mi,"At the lobby, unisex toilet!","41 Bencoolen St, Singapore 189623",
,ION Orchard,Wheelchair only,"2 Orchard Turn, Singapore 238801",
,Grand Hyatt Singapore,Wheelchair only,"10 Scotts Rd, Singapore 228211",
,Jollibee - Bugis Village ,Unisex toilet ,"165/166 Rochor Rd, Singapore 188440",
,Kallang Tennis Hub,"Bidet at male's and female's toilet, level 2.",15 Stadium Walk,
,Kwong Wai Shiu Hospital,All disabled toilets are fixed with bidet spray!,"705 Serangoon Rd, Singapore 328127",
,Little India MRT - Exit F,Handicap toilet only,"No. 60 Bukit Timah Rd, MRT Station, Singapore 229900",
,lyf Farrer Park Singapore,"Wheelchair only, located beside the gym (open to public)","2 Perumal Rd, #01-01, Singapore 218773",
,Malay Heritage Centre,,"85 Sultan Gate, Singapore 198501",
,Mandarin Gallery ,Handicap only,"333A Orchard Rd, Singapore 238897",
